type,filename,segment_id,hit_rate_perc,avg_drift_pixl,track_loss_perc,max_ttr_ms
Original,01.avi,0,81.65,63.13,2.49,266.67
Original,01.avi,1,81.7,84.81,0.13,66.67
Original,01.avi,2,87.5,84.85,0.76,366.67
Original,01.avi,3,76.99,55.34,0.13,33.33
Modified,01_gaussian_blur_medium.avi,0,84.86,72.16,2.49,266.67
Modified,01_gaussian_blur_medium.avi,1,87.95,88.78,0.13,66.67
Modified,01_gaussian_blur_medium.avi,2,83.04,97.17,0.76,366.67
Modified,01_gaussian_blur_medium.avi,3,80.97,64.38,0.13,33.33
Modified,01_gaussian_blur_mild.avi,0,86.7,73.29,2.49,266.67
Modified,01_gaussian_blur_mild.avi,1,84.82,92.04,0.13,66.67
Modified,01_gaussian_blur_mild.avi,2,89.29,87.68,0.76,366.67
Modified,01_gaussian_blur_mild.avi,3,79.2,56.56,0.13,33.33
Modified,01_gaussian_blur_severe.avi,0,83.03,85.37,2.49,266.67
Modified,01_gaussian_blur_severe.avi,1,86.16,89.56,0.13,66.67
Modified,01_gaussian_blur_severe.avi,2,86.61,101.92,0.76,366.67
Modified,01_gaussian_blur_severe.avi,3,81.42,65.1,0.13,33.33
Modified,01_grain_medium.avi,0,81.65,62.24,2.49,266.67
Modified,01_grain_medium.avi,1,83.48,83.12,0.13,66.67
Modified,01_grain_medium.avi,2,86.61,78.32,0.76,366.67
Modified,01_grain_medium.avi,3,80.53,50.96,0.13,33.33
Modified,01_grain_mild.avi,0,84.4,62.24,2.49,266.67
Modified,01_grain_mild.avi,1,80.8,81.84,0.13,66.67
Modified,01_grain_mild.avi,2,82.14,84.12,0.76,366.67
Modified,01_grain_mild.avi,3,80.53,51.67,0.13,33.33
Modified,01_grain_severe.avi,0,72.48,57.62,2.49,266.67
Modified,01_grain_severe.avi,1,76.79,65.7,0.13,66.67
Modified,01_grain_severe.avi,2,71.43,56.84,0.76,366.67
Modified,01_grain_severe.avi,3,70.8,38.38,0.13,33.33
Modified,01_motion_blur_medium.avi,0,84.86,70.63,2.49,266.67
Modified,01_motion_blur_medium.avi,1,83.48,84.41,0.13,66.67
Modified,01_motion_blur_medium.avi,2,90.18,87.02,0.76,366.67
Modified,01_motion_blur_medium.avi,3,82.74,58.27,0.13,33.33
Modified,01_motion_blur_mild.avi,0,83.49,70.01,2.49,266.67
Modified,01_motion_blur_mild.avi,1,80.36,88.07,0.13,66.67
Modified,01_motion_blur_mild.avi,2,89.29,88.85,0.76,366.67
Modified,01_motion_blur_mild.avi,3,84.51,55.61,0.13,33.33
Modified,01_motion_blur_severe.avi,0,81.65,76.75,2.49,266.67
Modified,01_motion_blur_severe.avi,1,84.82,89.63,0.13,66.67
Modified,01_motion_blur_severe.avi,2,87.5,86.4,0.76,366.67
Modified,01_motion_blur_severe.avi,3,83.63,56.54,0.13,33.33
Modified,01_occlusion_medium.avi,0,86.24,65.63,2.49,266.67
Modified,01_occlusion_medium.avi,1,83.04,84.67,0.13,66.67
Modified,01_occlusion_medium.avi,2,84.38,88.87,0.76,366.67
Modified,01_occlusion_medium.avi,3,79.2,57.65,0.13,33.33
Modified,01_occlusion_mild.avi,0,85.78,64.89,2.49,266.67
Modified,01_occlusion_mild.avi,1,80.8,86.43,0.13,66.67
Modified,01_occlusion_mild.avi,2,86.16,85.08,0.76,366.67
Modified,01_occlusion_mild.avi,3,81.42,55.35,0.13,33.33
Modified,01_occlusion_severe.avi,0,83.94,63.12,2.49,266.67
Modified,01_occlusion_severe.avi,1,83.04,82.18,0.13,66.67
Modified,01_occlusion_severe.avi,2,83.93,89.54,0.76,366.67
Modified,01_occlusion_severe.avi,3,80.97,57.71,0.13,33.33
Modified,01_overexposure_medium.avi,0,86.24,68.27,2.49,266.67
Modified,01_overexposure_medium.avi,1,83.48,84.8,0.13,66.67
Modified,01_overexposure_medium.avi,2,82.14,81.81,0.76,366.67
Modified,01_overexposure_medium.avi,3,77.43,53.9,0.13,33.33
Modified,01_overexposure_mild.avi,0,84.86,65.83,2.49,266.67
Modified,01_overexposure_mild.avi,1,83.04,90.25,0.13,66.67
Modified,01_overexposure_mild.avi,2,86.61,83.91,0.76,366.67
Modified,01_overexposure_mild.avi,3,81.42,55.28,0.13,33.33
Modified,01_overexposure_severe.avi,0,84.4,65.46,2.49,266.67
Modified,01_overexposure_severe.avi,1,82.14,85.43,0.13,66.67
Modified,01_overexposure_severe.avi,2,81.25,82.42,0.76,366.67
Modified,01_overexposure_severe.avi,3,78.32,61.11,0.13,33.33
Modified,01_underexposure_medium.avi,0,74.77,53.36,2.49,266.67
Modified,01_underexposure_medium.avi,1,55.36,55.94,0.13,66.67
Modified,01_underexposure_medium.avi,2,62.5,48.26,0.76,366.67
Modified,01_underexposure_medium.avi,3,70.35,27.01,0.13,33.33
Modified,01_underexposure_mild.avi,0,86.7,65.82,2.49,266.67
Modified,01_underexposure_mild.avi,1,82.14,92.76,0.13,66.67
Modified,01_underexposure_mild.avi,2,89.29,84.53,0.76,366.67
Modified,01_underexposure_mild.avi,3,78.76,56.19,0.13,33.33
Modified,01_underexposure_severe.avi,0,66.06,55.81,2.49,266.67
Modified,01_underexposure_severe.avi,1,58.48,55.15,0.13,66.67
Modified,01_underexposure_severe.avi,2,54.46,69.23,0.76,366.67
Modified,01_underexposure_severe.avi,3,66.37,36.69,0.13,33.33
Original,11.avi,0,82.63,34.08,28.0,466.67
Original,11.avi,1,88.94,64.83,30.67,1133.33
Original,11.avi,2,83.65,57.21,28.84,1400.0
Original,11.avi,3,90.2,73.37,28.57,1133.33
Modified,11_gaussian_blur_medium.avi,0,88.26,47.31,28.0,466.67
Modified,11_gaussian_blur_medium.avi,1,89.9,65.92,30.67,1133.33
Modified,11_gaussian_blur_medium.avi,2,86.54,64.57,28.84,1400.0
Modified,11_gaussian_blur_medium.avi,3,92.65,80.01,28.57,1133.33
Modified,11_gaussian_blur_mild.avi,0,85.92,35.09,28.0,466.67
Modified,11_gaussian_blur_mild.avi,1,88.94,64.64,30.67,1133.33
Modified,11_gaussian_blur_mild.avi,2,84.62,56.44,28.84,1400.0
Modified,11_gaussian_blur_mild.avi,3,89.71,72.91,28.57,1133.33
Modified,11_gaussian_blur_severe.avi,0,88.73,51.22,28.0,466.67
Modified,11_gaussian_blur_severe.avi,1,92.79,69.11,30.67,1133.33
Modified,11_gaussian_blur_severe.avi,2,91.35,67.29,28.84,1400.0
Modified,11_gaussian_blur_severe.avi,3,88.73,88.84,28.57,1133.33
Modified,11_grain_medium.avi,0,82.16,33.05,28.0,466.67
Modified,11_grain_medium.avi,1,88.94,62.66,30.67,1133.33
Modified,11_grain_medium.avi,2,84.62,54.03,28.84,1400.0
Modified,11_grain_medium.avi,3,90.69,68.26,28.57,1133.33
Modified,11_grain_mild.avi,0,82.16,33.47,28.0,466.67
Modified,11_grain_mild.avi,1,88.94,60.49,30.67,1133.33
Modified,11_grain_mild.avi,2,84.62,51.62,28.84,1400.0
Modified,11_grain_mild.avi,3,87.75,70.78,28.57,1133.33
Modified,11_grain_severe.avi,0,84.51,34.33,28.0,466.67
Modified,11_grain_severe.avi,1,89.42,60.55,30.67,1133.33
Modified,11_grain_severe.avi,2,85.1,52.95,28.84,1400.0
Modified,11_grain_severe.avi,3,82.84,71.18,28.57,1133.33
Modified,11_motion_blur_medium.avi,0,83.1,44.32,28.0,466.67
Modified,11_motion_blur_medium.avi,1,90.38,67.59,30.67,1133.33
Modified,11_motion_blur_medium.avi,2,86.06,68.66,28.84,1400.0
Modified,11_motion_blur_medium.avi,3,87.75,77.85,28.57,1133.33
Modified,11_motion_blur_mild.avi,0,84.98,35.99,28.0,466.67
Modified,11_motion_blur_mild.avi,1,89.42,64.13,30.67,1133.33
Modified,11_motion_blur_mild.avi,2,87.5,59.41,28.84,1400.0
Modified,11_motion_blur_mild.avi,3,89.22,72.77,28.57,1133.33
Modified,11_motion_blur_severe.avi,0,87.79,47.15,28.0,466.67
Modified,11_motion_blur_severe.avi,1,92.31,62.89,30.67,1133.33
Modified,11_motion_blur_severe.avi,2,87.02,66.95,28.84,1400.0
Modified,11_motion_blur_severe.avi,3,87.75,79.76,28.57,1133.33
Modified,11_occlusion_medium.avi,0,83.1,34.19,28.0,466.67
Modified,11_occlusion_medium.avi,1,90.87,63.26,30.67,1133.33
Modified,11_occlusion_medium.avi,2,83.17,53.32,28.84,1400.0
Modified,11_occlusion_medium.avi,3,86.27,73.42,28.57,1133.33
Modified,11_occlusion_mild.avi,0,80.75,34.08,28.0,466.67
Modified,11_occlusion_mild.avi,1,90.38,63.11,30.67,1133.33
Modified,11_occlusion_mild.avi,2,84.62,56.94,28.84,1400.0
Modified,11_occlusion_mild.avi,3,90.69,71.74,28.57,1133.33
Modified,11_occlusion_severe.avi,0,82.63,32.92,28.0,466.67
Modified,11_occlusion_severe.avi,1,90.87,61.39,30.67,1133.33
Modified,11_occlusion_severe.avi,2,84.62,51.47,28.84,1400.0
Modified,11_occlusion_severe.avi,3,90.2,67.94,28.57,1133.33
Modified,11_overexposure_medium.avi,0,78.87,34.12,28.0,466.67
Modified,11_overexposure_medium.avi,1,91.83,64.72,30.67,1133.33
Modified,11_overexposure_medium.avi,2,82.69,55.95,28.84,1400.0
Modified,11_overexposure_medium.avi,3,87.25,70.88,28.57,1133.33
Modified,11_overexposure_mild.avi,0,82.16,33.19,28.0,466.67
Modified,11_overexposure_mild.avi,1,91.35,64.2,30.67,1133.33
Modified,11_overexposure_mild.avi,2,84.62,56.79,28.84,1400.0
Modified,11_overexposure_mild.avi,3,90.2,72.07,28.57,1133.33
Modified,11_overexposure_severe.avi,0,81.22,34.59,28.0,466.67
Modified,11_overexposure_severe.avi,1,91.35,62.34,30.67,1133.33
Modified,11_overexposure_severe.avi,2,82.21,55.93,28.84,1400.0
Modified,11_overexposure_severe.avi,3,87.25,72.16,28.57,1133.33
Modified,11_underexposure_medium.avi,0,83.1,36.63,28.0,466.67
Modified,11_underexposure_medium.avi,1,86.54,54.45,30.67,1133.33
Modified,11_underexposure_medium.avi,2,81.73,56.2,28.84,1400.0
Modified,11_underexposure_medium.avi,3,83.82,72.51,28.57,1133.33
Modified,11_underexposure_mild.avi,0,82.16,34.17,28.0,466.67
Modified,11_underexposure_mild.avi,1,89.42,60.95,30.67,1133.33
Modified,11_underexposure_mild.avi,2,86.54,56.89,28.84,1400.0
Modified,11_underexposure_mild.avi,3,87.75,73.18,28.57,1133.33
Modified,11_underexposure_severe.avi,0,77.46,33.15,28.0,466.67
Modified,11_underexposure_severe.avi,1,86.06,49.73,30.67,1133.33
Modified,11_underexposure_severe.avi,2,79.33,47.46,28.84,1400.0
Modified,11_underexposure_severe.avi,3,75.0,64.73,28.57,1133.33
Original,29.avi,0,80.27,66.17,2.18,266.67
Original,29.avi,1,86.04,64.12,1.2,133.33
Original,29.avi,2,76.02,52.48,0.67,100.0
Original,29.avi,3,78.83,58.39,1.33,200.0
Modified,29_gaussian_blur_medium.avi,0,82.96,86.84,2.18,266.67
Modified,29_gaussian_blur_medium.avi,1,81.98,79.11,1.2,133.33
Modified,29_gaussian_blur_medium.avi,2,70.14,61.94,0.67,100.0
Modified,29_gaussian_blur_medium.avi,3,78.38,72.81,1.33,200.0
Modified,29_gaussian_blur_mild.avi,0,77.13,81.69,2.18,266.67
Modified,29_gaussian_blur_mild.avi,1,83.33,75.33,1.2,133.33
Modified,29_gaussian_blur_mild.avi,2,77.83,65.33,0.67,100.0
Modified,29_gaussian_blur_mild.avi,3,77.03,72.18,1.33,200.0
Modified,29_gaussian_blur_severe.avi,0,90.58,70.17,2.18,266.67
Modified,29_gaussian_blur_severe.avi,1,84.68,79.87,1.2,133.33
Modified,29_gaussian_blur_severe.avi,2,75.57,71.84,0.67,100.0
Modified,29_gaussian_blur_severe.avi,3,79.28,67.66,1.33,200.0
Modified,29_grain_medium.avi,0,78.92,68.02,2.18,266.67
Modified,29_grain_medium.avi,1,85.59,67.42,1.2,133.33
Modified,29_grain_medium.avi,2,78.28,51.58,0.67,100.0
Modified,29_grain_medium.avi,3,79.28,60.25,1.33,200.0
Modified,29_grain_mild.avi,0,80.27,66.78,2.18,266.67
Modified,29_grain_mild.avi,1,85.59,66.33,1.2,133.33
Modified,29_grain_mild.avi,2,75.11,53.39,0.67,100.0
Modified,29_grain_mild.avi,3,76.13,62.77,1.33,200.0
Modified,29_grain_severe.avi,0,77.58,61.82,2.18,266.67
Modified,29_grain_severe.avi,1,84.23,54.76,1.2,133.33
Modified,29_grain_severe.avi,2,74.66,46.14,0.67,100.0
Modified,29_grain_severe.avi,3,77.48,53.96,1.33,200.0
Modified,29_motion_blur_medium.avi,0,85.65,68.77,2.18,266.67
Modified,29_motion_blur_medium.avi,1,84.23,70.4,1.2,133.33
Modified,29_motion_blur_medium.avi,2,69.23,51.3,0.67,100.0
Modified,29_motion_blur_medium.avi,3,81.53,63.43,1.33,200.0
Modified,29_motion_blur_mild.avi,0,84.75,69.31,2.18,266.67
Modified,29_motion_blur_mild.avi,1,86.49,67.11,1.2,133.33
Modified,29_motion_blur_mild.avi,2,79.64,59.83,0.67,100.0
Modified,29_motion_blur_mild.avi,3,80.63,64.37,1.33,200.0
Modified,29_motion_blur_severe.avi,0,79.82,69.05,2.18,266.67
Modified,29_motion_blur_severe.avi,1,85.14,72.97,1.2,133.33
Modified,29_motion_blur_severe.avi,2,71.49,52.2,0.67,100.0
Modified,29_motion_blur_severe.avi,3,82.88,53.19,1.33,200.0
Modified,29_occlusion_medium.avi,0,80.72,64.79,2.18,266.67
Modified,29_occlusion_medium.avi,1,84.23,57.84,1.2,133.33
Modified,29_occlusion_medium.avi,2,79.19,47.13,0.67,100.0
Modified,29_occlusion_medium.avi,3,80.18,55.83,1.33,200.0
Modified,29_occlusion_mild.avi,0,79.37,64.96,2.18,266.67
Modified,29_occlusion_mild.avi,1,84.23,57.64,1.2,133.33
Modified,29_occlusion_mild.avi,2,77.38,52.06,0.67,100.0
Modified,29_occlusion_mild.avi,3,77.48,57.78,1.33,200.0
Modified,29_occlusion_severe.avi,0,79.37,58.47,2.18,266.67
Modified,29_occlusion_severe.avi,1,85.59,57.03,1.2,133.33
Modified,29_occlusion_severe.avi,2,77.38,45.89,0.67,100.0
Modified,29_occlusion_severe.avi,3,80.63,55.57,1.33,200.0
Modified,29_overexposure_medium.avi,0,79.82,65.44,2.18,266.67
Modified,29_overexposure_medium.avi,1,85.14,58.2,1.2,133.33
Modified,29_overexposure_medium.avi,2,77.83,52.15,0.67,100.0
Modified,29_overexposure_medium.avi,3,77.48,50.8,1.33,200.0
Modified,29_overexposure_mild.avi,0,81.61,69.56,2.18,266.67
Modified,29_overexposure_mild.avi,1,82.88,62.95,1.2,133.33
Modified,29_overexposure_mild.avi,2,76.47,47.91,0.67,100.0
Modified,29_overexposure_mild.avi,3,77.03,57.98,1.33,200.0
Modified,29_overexposure_severe.avi,0,85.2,66.79,2.18,266.67
Modified,29_overexposure_severe.avi,1,82.88,73.12,1.2,133.33
Modified,29_overexposure_severe.avi,2,74.66,66.31,0.67,100.0
Modified,29_overexposure_severe.avi,3,76.58,60.01,1.33,200.0
Modified,29_underexposure_medium.avi,0,82.06,62.29,2.18,266.67
Modified,29_underexposure_medium.avi,1,83.78,59.51,1.2,133.33
Modified,29_underexposure_medium.avi,2,68.33,46.89,0.67,100.0
Modified,29_underexposure_medium.avi,3,74.32,64.41,1.33,200.0
Modified,29_underexposure_mild.avi,0,78.03,65.42,2.18,266.67
Modified,29_underexposure_mild.avi,1,84.68,65.76,1.2,133.33
Modified,29_underexposure_mild.avi,2,74.66,54.2,0.67,100.0
Modified,29_underexposure_mild.avi,3,77.03,61.19,1.33,200.0
Modified,29_underexposure_severe.avi,0,79.37,53.55,2.18,266.67
Modified,29_underexposure_severe.avi,1,85.14,53.06,1.2,133.33
Modified,29_underexposure_severe.avi,2,72.85,41.63,0.67,100.0
Modified,29_underexposure_severe.avi,3,74.77,54.34,1.33,200.0
Original,36.avi,0,83.92,89.96,25.38,166.67
Original,36.avi,1,89.86,88.18,25.42,200.0
Original,36.avi,2,90.91,89.49,27.64,533.33
Original,36.avi,3,89.51,88.55,26.39,300.0
Modified,36_gaussian_blur_medium.avi,0,85.31,93.26,25.38,166.67
Modified,36_gaussian_blur_medium.avi,1,92.57,87.11,25.42,200.0
Modified,36_gaussian_blur_medium.avi,2,89.51,91.69,27.64,533.33
Modified,36_gaussian_blur_medium.avi,3,90.91,90.51,26.39,300.0
Modified,36_gaussian_blur_mild.avi,0,88.81,89.61,25.38,166.67
Modified,36_gaussian_blur_mild.avi,1,91.89,85.11,25.42,200.0
Modified,36_gaussian_blur_mild.avi,2,87.41,87.73,27.64,533.33
Modified,36_gaussian_blur_mild.avi,3,89.51,90.07,26.39,300.0
Modified,36_gaussian_blur_severe.avi,0,86.01,98.38,25.38,166.67
Modified,36_gaussian_blur_severe.avi,1,84.46,93.06,25.42,200.0
Modified,36_gaussian_blur_severe.avi,2,90.91,92.45,27.64,533.33
Modified,36_gaussian_blur_severe.avi,3,88.81,100.1,26.39,300.0
Modified,36_grain_medium.avi,0,83.92,87.14,25.38,166.67
Modified,36_grain_medium.avi,1,86.49,85.95,25.42,200.0
Modified,36_grain_medium.avi,2,86.01,84.28,27.64,533.33
Modified,36_grain_medium.avi,3,88.81,86.19,26.39,300.0
Modified,36_grain_mild.avi,0,83.92,86.39,25.38,166.67
Modified,36_grain_mild.avi,1,89.86,86.45,25.42,200.0
Modified,36_grain_mild.avi,2,88.11,83.21,27.64,533.33
Modified,36_grain_mild.avi,3,86.71,89.1,26.39,300.0
Modified,36_grain_severe.avi,0,79.72,89.53,25.38,166.67
Modified,36_grain_severe.avi,1,85.81,87.42,25.42,200.0
Modified,36_grain_severe.avi,2,80.42,89.66,27.64,533.33
Modified,36_grain_severe.avi,3,84.62,87.86,26.39,300.0
Modified,36_motion_blur_medium.avi,0,88.11,91.19,25.38,166.67
Modified,36_motion_blur_medium.avi,1,91.89,86.36,25.42,200.0
Modified,36_motion_blur_medium.avi,2,90.21,93.14,27.64,533.33
Modified,36_motion_blur_medium.avi,3,83.22,88.34,26.39,300.0
Modified,36_motion_blur_mild.avi,0,86.71,88.09,25.38,166.67
Modified,36_motion_blur_mild.avi,1,92.57,85.97,25.42,200.0
Modified,36_motion_blur_mild.avi,2,90.91,90.1,27.64,533.33
Modified,36_motion_blur_mild.avi,3,92.31,88.5,26.39,300.0
Modified,36_motion_blur_severe.avi,0,86.71,95.77,25.38,166.67
Modified,36_motion_blur_severe.avi,1,89.86,87.46,25.42,200.0
Modified,36_motion_blur_severe.avi,2,91.61,89.28,27.64,533.33
Modified,36_motion_blur_severe.avi,3,86.71,89.57,26.39,300.0
Modified,36_occlusion_medium.avi,0,80.42,90.8,25.38,166.67
Modified,36_occlusion_medium.avi,1,88.51,87.84,25.42,200.0
Modified,36_occlusion_medium.avi,2,88.11,91.5,27.64,533.33
Modified,36_occlusion_medium.avi,3,92.31,87.35,26.39,300.0
Modified,36_occlusion_mild.avi,0,82.52,90.65,25.38,166.67
Modified,36_occlusion_mild.avi,1,89.86,87.52,25.42,200.0
Modified,36_occlusion_mild.avi,2,89.51,89.12,27.64,533.33
Modified,36_occlusion_mild.avi,3,93.01,89.82,26.39,300.0
Modified,36_occlusion_severe.avi,0,86.01,87.62,25.38,166.67
Modified,36_occlusion_severe.avi,1,89.86,87.59,25.42,200.0
Modified,36_occlusion_severe.avi,2,91.61,92.31,27.64,533.33
Modified,36_occlusion_severe.avi,3,93.01,87.33,26.39,300.0
Modified,36_overexposure_medium.avi,0,83.92,87.0,25.38,166.67
Modified,36_overexposure_medium.avi,1,89.86,85.89,25.42,200.0
Modified,36_overexposure_medium.avi,2,90.21,89.01,27.64,533.33
Modified,36_overexposure_medium.avi,3,91.61,87.19,26.39,300.0
Modified,36_overexposure_mild.avi,0,86.71,90.23,25.38,166.67
Modified,36_overexposure_mild.avi,1,89.19,90.32,25.42,200.0
Modified,36_overexposure_mild.avi,2,89.51,89.96,27.64,533.33
Modified,36_overexposure_mild.avi,3,91.61,87.62,26.39,300.0
Modified,36_overexposure_severe.avi,0,83.92,94.16,25.38,166.67
Modified,36_overexposure_severe.avi,1,93.24,93.98,25.42,200.0
Modified,36_overexposure_severe.avi,2,89.51,93.0,27.64,533.33
Modified,36_overexposure_severe.avi,3,87.41,99.55,26.39,300.0
Modified,36_underexposure_medium.avi,0,83.22,89.81,25.38,166.67
Modified,36_underexposure_medium.avi,1,90.54,85.7,25.42,200.0
Modified,36_underexposure_medium.avi,2,90.91,85.21,27.64,533.33
Modified,36_underexposure_medium.avi,3,90.91,83.31,26.39,300.0
Modified,36_underexposure_mild.avi,0,85.31,89.39,25.38,166.67
Modified,36_underexposure_mild.avi,1,87.84,87.97,25.42,200.0
Modified,36_underexposure_mild.avi,2,91.61,86.93,27.64,533.33
Modified,36_underexposure_mild.avi,3,90.91,87.84,26.39,300.0
Modified,36_underexposure_severe.avi,0,81.12,82.39,25.38,166.67
Modified,36_underexposure_severe.avi,1,85.14,84.08,25.42,200.0
Modified,36_underexposure_severe.avi,2,83.22,82.68,27.64,533.33
Modified,36_underexposure_severe.avi,3,83.92,75.72,26.39,300.0
